,var0,var1,var2,var3,var4,var5,var6,var7,var8,var9,target
0,0,0,0.0,0,0,0,0.0,0.0,23,39205.17,0
1,0,0,0.0,0,0,0,0.0,88.89,34,49278.03,0
2,0,0,3.0,0,0,0,2.07,0.18,23,67333.77,0
3,3,18,186.09,27,3,48,138.84,0.0,37,64007.97,0
4,9,0,3.0,0,0,0,13501.47,0.3,39,117310.979016494,0
5,0,0,0.0,0,0,0,0.0,0.0,23,87975.75,0
6,0,0,3.0,0,0,0,2.13,0.42,27,94956.66,0
7,0,0,2.88,0,0,0,2.94,0.0,26,251638.95,0
8,0,0,0.0,0,0,0,0.0,0.0,45,101962.02,0
9,0,0,2.79,0,0,0,2.91,0.0,25,356463.06,0
10,0,21,0.0,24,6,51,0.0,0.0,42,125424.06,0
11,0,0,0.0,0,0,0,0.0,0.0,26,75368.52,0
12,0,3,90.0,6,0,9,69.69,29.04,51,122220.09,0
13,15,9,120000.0,12,12,33,54623.64,39999.99,43,118436.97,0
14,6,6,633.87,6,9,21,0.0,99.33,33,95294.13,0
15,0,0,3.0,0,0,0,2.31,0.96,30,104403.87,0
16,0,0,0.0,0,0,0,0.0,0.0,44,117310.979016494,0
17,3,105,144.15,75,9,189,220.8,95.07,36,153014.13,0
18,9,12,1.05,18,18,48,1930.62,0.0,55,168943.23,0
19,0,0,30.0,0,0,0,25.02,15.03,28,96601.14,0
20,0,0,0.0,0,0,0,0.0,0.0,23,69165.03,0
21,0,0,3.0,0,0,0,2.37,1.08,27,63445.56,0
22,12,0,10.44,9,15,24,13.68,23.1,35,117310.979016494,0
23,3,15,59.88,18,0,33,59.49,0.3,54,59575.62,0
24,0,0,0.0,0,0,0,0.0,0.0,42,117310.979016494,0
25,18,3,0.0,12,15,30,0.0,0.0,40,78390.81,0
26,0,0,0.0,0,0,0,0.0,0.0,23,86262.21,0
27,0,0,0.0,0,0,0,0.0,0.0,25,55568.1,0
28,0,0,6.0,0,0,0,4.41,1.2,24,34880.28,0
29,9,6,106.05,21,9,36,89.85,73.35,23,126815.97,0
30,0,0,0.0,0,0,0,0.0,0.0,14,101789.79,0
31,0,0,0.0,0,0,0,0.0,0.0,66,63324.9,1
32,0,0,0.0,0,0,0,0.0,0.0,26,123113.46,0
33,12,9,0.0,3,0,12,187.74,0.0,25,60115.23,0
34,9,15,0.0,3,0,18,59.04,0.0,42,117310.979016494,0
35,0,0,0.0,0,0,0,0.0,0.0,23,66112.08,0
36,0,0,0.0,0,0,0,0.0,0.0,39,47546.46,0
37,12,9,6.0,3,3,15,12.72,0.0,39,117310.979016494,0
38,0,3,90.0,0,3,6,74.52,43.56,23,44631.63,0
39,0,0,3.0,0,0,0,2.58,1.77,24,75546.15,0
40,0,0,0.0,0,0,0,0.0,0.0,50,112968.33,0
41,0,0,90.0,0,0,0,90.0,0.0,22,150347.88,0
42,0,0,3.0,0,0,0,2.22,0.69,25,96674.94,0
43,3,0,3.0,0,0,0,2.88,2.67,24,56161.53,0
44,6,36,623.16,36,3,75,314.61,0.0,62,123380.37,0
45,0,0,0.0,0,0,0,0.0,0.0,23,90175.05,0
46,0,0,3.0,0,0,0,2.22,0.63,23,155235.3,0
47,0,3,300.0,3,6,12,2636.67,7310.04,42,43998.48,0
48,6,3,90.0,9,0,12,81.99,66.0,24,114497.61,0
49,0,0,0.0,0,6,6,0.0,0.0,60,237000.24,0
50,15,18,17657.58,33,9,60,5898.18,6.96,42,245388.78,0
51,3,0,90.0,0,0,0,66.78,20.34,22,76889.91,0
52,0,0,0.0,0,0,0,0.0,0.0,64,84896.85,0
53,0,9,0.0,0,15,24,0.0,0.0,76,56913.06,0
54,0,3,3.0,0,0,3,2.97,2.88,26,55562.91,0
55,0,3,3.0,0,0,3,27.42,0.39,23,67685.46,0
56,0,0,0.0,0,0,0,15.0,0.0,40,44286.45,0
57,0,0,0.0,0,0,0,0.0,0.0,26,99522.72,0
58,6,27,141.69,3,6,36,107.79,2.88,31,101700.48,0
59,0,0,90.0,9,12,21,62.01,6.0,23,336550.11,0
60,0,0,2315.7,0,0,0,2369.34,801.39,38,149904.78,0
61,21,33,1197.15,15,24,72,1209.51,970.32,41,59325.75,0
62,0,0,0.0,0,0,0,0.0,0.0,23,51689.55,0
63,0,0,0.0,0,0,0,0.0,0.0,26,191661.84,0
64,0,0,3.0,0,0,0,2.88,2.61,25,169579.74,0
65,0,0,0.0,0,0,0,0.0,0.0,56,95834.85,0
66,0,0,3.0,0,0,0,2.76,2.31,26,39305.16,0
67,0,0,3.0,0,0,0,2.94,2.79,23,41807.67,0
68,0,0,0.0,0,0,0,0.0,0.0,23,165258.42,0
69,0,0,0.0,0,0,0,0.0,0.0,24,36490.74,0
70,0,0,90.0,0,0,0,86.91,80.7,23,117310.979016494,0
71,15,9,511.92,27,0,36,0.0,0.0,28,27443.34,0
72,3,0,0.0,0,3,3,0.0,0.0,35,65554.47,0
73,0,0,3.0,0,0,0,2.82,2.43,24,54182.85,0
74,0,0,0.0,0,0,0,0.0,0.0,25,150676.41,0
75,18,18,25.2,15,12,45,0.0,30.99,51,41508.24,0
76,3,0,0.0,0,0,0,0.0,0.0,72,117310.979016494,0
77,0,0,90.0,0,0,0,78.21,54.66,25,105994.47,0
78,0,0,3.0,0,0,0,2.1,0.27,23,117310.979016494,0
79,0,0,90.0,3,0,3,62.91,8.7,24,117310.979016494,0
80,0,27,1366.74,39,0,66,1189.68,0.0,45,124988.25,1
81,0,0,0.0,0,0,0,0.0,0.0,23,190417.68,0
82,0,0,0.0,0,0,0,0.0,0.0,27,125764.98,0
83,9,0,0.0,0,0,0,0.0,23225.82,36,255365.25,0
84,0,0,3.0,0,0,0,2.91,2.7,23,472322.1,0
85,0,0,0.0,0,0,0,0.0,0.0,23,204085.62,0
86,0,0,3.0,0,0,0,2.52,1.59,26,117310.979016494,0
87,3,3,212.94,15,6,24,230.22,0.0,23,101485.23,0
88,0,0,0.0,0,0,0,0.0,0.0,44,174881.82,0
89,15,18,258.63,153,72,243,193.59,70.08,68,117310.979016494,0
90,0,0,0.0,0,0,0,0.0,0.0,5,102074.61,0
91,0,0,90.0,6,0,6,528.6,5.82,25,48160.14,0
92,0,3,0.0,0,0,3,3.24,0.0,25,83856.36,0
93,0,12,148.05,6,3,21,1226.16,42.84,72,117310.979016494,0
94,0,0,90.0,0,0,0,90.0,0.0,23,149896.02,0
95,0,0,3.0,0,3,3,2.76,2.31,25,158522.37,0
96,3,6,60.0,0,3,9,37.62,32.91,23,208818.99,0
97,0,3,0.0,3,6,12,0.0,0.0,56,23169.78,0
